manuscript_part,item,caption_key,script,output_stem,primary_input,notes
Main,Table 1,dataset summary,Scripts/table_1.py,Tables/table_1_dataset_summary,Data/section2_tables/table_1_main_dataset_summary_compact.csv,Main manuscript dataset summary table.
Main,Figure 1,current voltage SOC trajectories,Scripts/figure_1.py,Figures/figure_1_current_voltage_soc_by_profile,Data/processed,Panels follow BJDST DST US06 FUDS profile order.
Main,Table 2,voltage and current autocorrelation,Scripts/table_2.py,Tables/table_2_voltage_current_autocorrelation,Data/source_tables/acf_summary.csv,Profile-level autocorrelation summary.
Main,Table 3,causal lag correlations,Scripts/table_3.py,Tables/table_3_causal_lag_correlations,Data/source_tables/causal_lag_correlation.csv,Mean min-max format by lag.
Main,Figure 2,conditional SOC spread within local V-I bins,Scripts/figure_2.py,Figures/figure_2_vi_bin_soc_spread,Data/section2_tables/table_s2_raw_vi_bin_details.csv,Uses the original plot_section2_figure3_raw_vi_soc_iqr_heatmap.py plotting logic.
Main,Table 4,SOC IQR within occupied V-I bins,Scripts/table_4.py,Tables/table_4_vi_bin_soc_iqr,Data/section2_tables/table_2_main_raw_vi_soc_spread_compact.csv,Converts SOC fraction to percent points where needed upstream.
Main,Figure 3,raw signal frequency-domain structure,Scripts/figure_3.py,Figures/figure_3_raw_signal_frequency_structure,Data/processed,Uses the original build_frequency_structure_analysis.py logic; original output Figure_3_raw_signal_frequency_structure is saved as manuscript Figure 3.
Main,Figure 4,CEMA-TCN workflow,Scripts/figure_4.py,Figures/figure_4_cema_tcn_workflow,Scripts/figure_4.py,Uses the original build_manuscript_soc_figure_from_svg_template.py SVG-template script.
Main,Table 5,causal EMA measurement representation,Scripts/table_5.py,Tables/table_5_causal_ema_measurement_representation,Data/source_tables/feature_schema.csv,G4 channel group summary.
Main,Figure 5,CEMA-TCN endpoint estimator,Scripts/figure_5.py,Figures/figure_5_cema_tcn_endpoint_estimator,Scripts/figure_5.py,Uses the original build_slide2_silu_panel.py SVG-template script.
Main,Table 6,FUDS test performance of CEMA-TCN,Scripts/table_6.py,Tables/table_6_main_fuds_performance,Data/manuscript_tables/table_6_main_fuds_performance_locked.csv,Locked to manuscript-visible values because exact upstream RMSE/MaxAE source CSV was not found.
Main,Figure 6,FUDS SOC estimation trajectories,Scripts/figure_6.py,Figures/figure_6_fuds_soc_prediction,Data/predictions/main_fuds,Uses the original plot_figure5_representative_fuds_trajectory.py logic with CEMA package paths.
Main,Table 7,model comparison,Scripts/table_7.py,Tables/table_7_model_comparison,Data/model_tables/model_ablation_g4_input_transformer2.csv,Transformer row uses 2-layer setting.
Main,Table 8,feature-set ablation,Scripts/table_8.py,Tables/table_8_feature_set_ablation,Data/model_tables/feature_ablation_summary.csv,G0/G1/G4/G6/G7/G8.
Main,Figure 7,feature ablation by temperature,Scripts/figure_7.py,Figures/figure_7_feature_ablation,Data/source_metrics/feature_ablation_reanalysis.csv,Uses the original build_paper_artifacts.py bar_by_temp plotting logic.
Main,Figure 8,corrected voltage time-domain behavior,Scripts/figure_8.py,Figures/figure_8_corrected_voltage_behavior,"Data/predictions/main_fuds; Data/processed",Integrates the original Figure 5 representative-trajectory selection logic directly inside figure_8.py and uses the original corrected-voltage behavior plotting logic.
Main,Table 9,spectral energy distribution,Scripts/table_9.py,Tables/table_9_spectral_energy_distribution,Data/model_tables/table_9_spectral_energy_distribution.csv,Main spectral summary table.
Main,Figure 9,spectral behavior of EMA features,Scripts/figure_9.py,Figures/figure_9_feature_frequency_behavior,Data/processed,Uses the original build_frequency_structure_analysis.py logic; original output Figure_6_feature_frequency_behavior is saved as manuscript Figure 9.
Main,Table 10,regional error reduction,Scripts/table_10.py,Tables/table_10_region_error_reduction,Data/model_tables/table_10_region_error_reduction.csv,G0 versus G4 regional MAE.
Main,Figure 10,regional error reduction figure,Scripts/figure_10.py,Figures/figure_10_region_error_reduction,Data/source_metrics/region_error_reduction_g0_g4.csv,Uses the plot_section4_region_error_reduction.ipynb layout constants and plotting logic.
SI,Table S1,record-level sample and window counts,Scripts/table_S1.py,Tables/table_S1_record_window_counts,Data/section2_tables/table_s2_dataset_terminal_summary.csv,Window count uses sequence length 50 and test stride 1.
SI,Table S2,V-I support coverage audit,Scripts/table_S2.py,Tables/table_S2_vi_support_coverage,Data/source_tables/vi_support_coverage.csv,Profile-holdout support coverage.
SI,Figure S1,profile-temperature V-I support maps,Scripts/figure_S1.py,Figures/figure_S1_vi_support_maps,Data/processed,Uses the original section2_measurement_structure.py logic; original output Figure_S1_operating_space_vi_grid_density is saved as Figure S1.
SI,Table S3,history-conditioned ambiguity,Scripts/table_S3.py,Tables/table_S3_history_conditioned_ambiguity,Data/source_tables/ambiguity_stratification_summary.csv,History-conditioned SOC IQR summary.
SI,Table S4,channel-level input schema,Scripts/table_S4.py,Tables/table_S4_feature_schema,Data/source_tables/feature_schema.csv,Feature schema table.
SI,Figure S2,representative CEMA channels,Scripts/figure_S2.py,Figures/figure_S2_representative_cema_channels,Data/figures_source/representative_cema_traces.csv,Uses the original plot_figureS2_representative_cema_traces.py logic.
SI,Table S5,causal feature-construction audit,Scripts/table_S5.py,Tables/table_S5_feature_construction_audit,Data/source_tables/feature_construction_audit.md,Compact audit table derived from repository rules.
SI,Table S6,fixed training configuration,Scripts/table_S6.py,Tables/table_S6_training_config,Results/configs/g4_frozen.yaml,Compact fixed-config table.
SI,Table S7,baseline model settings,Scripts/table_S7.py,Tables/table_S7_baseline_model_settings,Data/model_tables/model_ablation_g4_input_transformer2.csv,Compact baseline setting summary.
SI,Table S8,seed-level feature ablation,Scripts/table_S8.py,Tables/table_S8_feature_ablation_by_seed,Data/model_tables/feature_ablation_by_seed.csv,Seed-level feature-ablation rows.
SI,Table S9,regional grouping criteria,Scripts/table_S9.py,Tables/table_S9_regional_grouping_criteria,Data/model_tables/regional_thresholds.csv,Threshold source table.
SI,Table S10,representative spectral energy distribution,Scripts/table_S10.py,Tables/table_S10_spectral_energy_by_record,Data/model_tables/table_9_spectral_energy_distribution.csv,Representative measurement and EMA channel spectral summary matching the SI table columns.
SI,Table S11,regional MAE reduction,Scripts/table_S11.py,Tables/table_S11_region_error_reduction,Data/model_tables/table_10_region_error_reduction.csv,Same source metric as main Table 10 with SI numbering.
SI,Figure S3,profile-temperature spectral summaries,Scripts/figure_S3.py,Figures/figure_S3_profile_temperature_spectral_summary,Data/frequency_structure_analysis,Uses the original plot_figureS_frequency_high_energy_panels.py logic with grid lines removed.
