model_id,model_role,input_role,input_dim,temperature_C,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MaxAE_mean,MaxAE_std,R2_mean,R2_std,seed_count
cema_tcn,Proposed CEMA-TCN,G4 corrected V/I/T + causal voltage/current/abs-current EMA,17,0.0,0.4228386665458687,0.0340380939843557,0.550835304871879,0.0520822219109504,1.8435046666666668,0.7379467043014247,0.9993175635219596,0.0001316081259555,3
cema_tcn,Proposed CEMA-TCN,G4 corrected V/I/T + causal voltage/current/abs-current EMA,17,25.0,0.4549111718222705,0.1512250716985034,0.664326473902938,0.254025665104047,3.169228833333333,0.1347475746556622,0.9989119758422016,0.0007835007394844,3
cema_tcn,Proposed CEMA-TCN,G4 corrected V/I/T + causal voltage/current/abs-current EMA,17,45.0,0.3954290171172727,0.0452158748097292,0.5249331647705863,0.0457097443588343,1.9305259999999995,0.1233820835899606,0.9995045933318512,8.793489864716764e-05,3
cema_tcn,Proposed CEMA-TCN,G4 corrected V/I/T + causal voltage/current/abs-current EMA,17,temp_mean,0.4239804710050188,0.03900942798779,0.5935627908554849,0.0779346257090256,3.169228833333333,0.1347475746556622,0.999270942740592,0.0001961329529466,3
endpoint_mlp,Endpoint MLP control,"G4 input, endpoint/window summary only",17,0.0,0.7036021183785461,0.0385169962714378,0.9449423324762236,0.085664044601204,3.998744666666667,0.4055347815987367,0.997992657037818,0.0003649497541108,3
endpoint_mlp,Endpoint MLP control,"G4 input, endpoint/window summary only",17,25.0,1.304502182287422,0.0855933541685751,1.7224499905747042,0.1219492113305686,6.835020666666668,0.5993252333752819,0.9933131399214626,0.0009244167426682,3
endpoint_mlp,Endpoint MLP control,"G4 input, endpoint/window summary only",17,45.0,0.560922195312545,0.0458489896011345,0.8248924360268735,0.1024068564365549,3.997084666666668,0.9631018387051968,0.9987703028672602,0.0002991247521291,3
endpoint_mlp,Endpoint MLP control,"G4 input, endpoint/window summary only",17,temp_mean,0.8580086471724807,0.0353178519530393,1.2373734977321993,0.0613982101462308,6.835020666666668,0.5993252333752819,0.996862532173028,0.000306449905856,3
gru_h128_l1,GRU model-class control,"G4 input, same window",17,0.0,0.6534686590840063,0.1157645674212636,0.8634657769396444,0.1127644861700877,3.645809666666666,0.22928298179833,0.9983140746024194,0.0004393836702073,3
gru_h128_l1,GRU model-class control,"G4 input, same window",17,25.0,0.923381389842736,0.0356210881094525,1.1216405170597088,0.0359267437479647,3.2680350000000007,0.3283974748365152,0.997171967272582,0.0001814323251838,3
gru_h128_l1,GRU model-class control,"G4 input, same window",17,45.0,0.5511901056606491,0.2589254227718826,0.7217273031902948,0.2549096029922483,3.2165329999999988,0.2420489610781249,0.9989907367523916,0.0007118741944558,3
gru_h128_l1,GRU model-class control,"G4 input, same window",17,temp_mean,0.7091278533583245,0.1377789940196295,0.9217203159786612,0.1169976862227416,3.645809666666666,0.22928298179833,0.998243274902262,0.000455239001175,3
gru_h128_l6,GRU depth control,"G4 input, same window",17,0.0,0.6908806627044936,0.0523629038527751,0.914397058951122,0.0562527670943869,2.8248806666666666,0.1089879826831064,0.9981258600968538,0.0002324914323976,3
gru_h128_l6,GRU depth control,"G4 input, same window",17,25.0,1.027568531310936,0.0602225832843064,1.2543144699479916,0.0655479752605815,3.5780923333333323,0.082802314583188,0.9964593505342888,0.0003641281137166,3
gru_h128_l6,GRU depth control,"G4 input, same window",17,45.0,0.4846431733264231,0.0245107537616916,0.6209191698761821,0.0375999716897187,2.1379006666666664,0.2828182745250636,0.9993086554537316,8.31623128963656e-05,3
gru_h128_l6,GRU depth control,"G4 input, same window",17,temp_mean,0.7320986042898155,0.0250347867534188,0.9632833442819758,0.0336440619469801,3.5780923333333323,0.082802314583188,0.9981001184242329,0.0001313086638255,3
lstm_h128_l1,LSTM model-class control,"G4 input, same window",17,0.0,0.5252725918237039,0.0309189751217498,0.6879761512598831,0.0537641896250174,2.705369000000001,0.6167357975438117,0.9989374499913802,0.0001626738216247,3
lstm_h128_l1,LSTM model-class control,"G4 input, same window",17,25.0,0.6814053496121223,0.142611691821349,0.8929145437360834,0.1777005947303874,3.6249226666666687,0.4700694997979906,0.9981616924868382,0.0007500368376226,3
lstm_h128_l1,LSTM model-class control,"G4 input, same window",17,45.0,0.3129720988540497,0.0888377536343061,0.4602718032305931,0.1153618646488252,2.646294,0.932432748128788,0.999605169798048,0.0001763500143155,3
lstm_h128_l1,LSTM model-class control,"G4 input, same window",17,temp_mean,0.5025441463545862,0.0866670234310791,0.7032238832796182,0.1010964109381514,3.675941000000003,0.4052453771383443,0.9989743585432668,0.0003029591979918,3
lstm_h128_l6,LSTM depth control,"G4 input, same window",17,0.0,0.720533838234279,0.1145527610498723,0.8993881381054564,0.1197910150135146,2.826718666666668,0.7338808781487193,0.99817005332009,0.0004983266919216,3
lstm_h128_l6,LSTM depth control,"G4 input, same window",17,25.0,0.7198051307977904,0.2268759846834717,0.9206205776976224,0.2488857475038595,3.189487666666666,0.5442309194940442,0.998003345678209,0.0010627815457395,3
lstm_h128_l6,LSTM depth control,"G4 input, same window",17,45.0,0.4539781019579051,0.1867032136331083,0.600072160399908,0.2619963128050765,2.3034806666666667,0.8881365945969881,0.9992740154227848,0.0006267929743184,3
lstm_h128_l6,LSTM depth control,"G4 input, same window",17,temp_mean,0.6246802266383709,0.1762736952625304,0.8164278586792001,0.2049226952736456,3.189487666666666,0.5442309194940442,0.9985790823902102,0.000720782158527,3
transformer_d128_h8_l2_gelu,Transformer control,"G4 input, same window",17,0.0,0.6339286234624145,0.034326251051991,0.8517232158523327,0.0243395776754424,3.676321999999999,0.2431793903356114,0.9983771762914444,9.212083593311629e-05,3
transformer_d128_h8_l2_gelu,Transformer control,"G4 input, same window",17,25.0,0.8512891010383652,0.0495782754261792,1.0433294452701312,0.0595955614242794,3.577639,0.8588397339358498,0.99754943244966,0.0002839377627505,3
transformer_d128_h8_l2_gelu,Transformer control,"G4 input, same window",17,45.0,0.5554797376436036,0.0473679386870267,0.7264149660232707,0.0609366874620229,2.912050333333333,0.3525261446224019,0.9990516552705488,0.0001581973389447,3
transformer_d128_h8_l2_gelu,Transformer control,"G4 input, same window",17,temp_mean,0.6801554343784209,0.0132104766424875,0.8834453419620144,0.0103302333454466,4.066547333333332,0.4359416342325363,0.9984031491877212,3.7264614177916086e-05,3
transformer_d128_h8_l6_gelu,Transformer depth control,"G4 input, same window",17,0.0,0.6903851155070063,0.1154399429960773,0.9147056215401982,0.1742933965006229,3.315427,0.610456179943327,0.9980840346445696,0.0007301498914662,3
transformer_d128_h8_l6_gelu,Transformer depth control,"G4 input, same window",17,25.0,0.9154889988499504,0.0638455974788453,1.124575318421985,0.0803581386765414,3.538141333333335,0.3881886156166005,0.9971494212737294,0.0004043747043622,3
transformer_d128_h8_l6_gelu,Transformer depth control,"G4 input, same window",17,45.0,0.5186573500071981,0.0460871270136364,0.6874887711422342,0.0716216104154515,2.9102233333333323,0.3855721078739149,0.9991484184733136,0.0001798556599313,3
transformer_d128_h8_l6_gelu,Transformer depth control,"G4 input, same window",17,temp_mean,0.7058052110074974,0.062864770100581,0.925101511878716,0.0907007663001582,3.682011333333335,0.3841941034741855,0.9982379491530672,0.0003387742665759,3
vanilla_tcn_h128_l6_moe,TCN model-class control,"G4 input, no anchor-residual correction module",17,0.0,0.8608819837923655,0.108188225742415,1.1187685722758467,0.1585020508456381,3.775261666666664,0.3724044063277619,0.9971640968504648,0.0007829586423818,3
vanilla_tcn_h128_l6_moe,TCN model-class control,"G4 input, no anchor-residual correction module",17,25.0,0.7657631914244319,0.0399112934687621,0.9452959661266096,0.0467425740237113,2.9354566666666657,0.060076141989422,0.9979894121177028,0.0001967103594365,3
vanilla_tcn_h128_l6_moe,TCN model-class control,"G4 input, no anchor-residual correction module",17,45.0,0.4894396372405056,0.0747296429807619,0.6417814846892641,0.1117242487146902,2.5052006666666657,0.4495068572406152,0.9992483334247756,0.0002678866299374,3
vanilla_tcn_h128_l6_moe,TCN model-class control,"G4 input, no anchor-residual correction module",17,temp_mean,0.695116296012764,0.0032053680527567,0.9143801793043016,0.0230470097035512,3.775261666666664,0.3724044063277619,0.9982887916430926,8.638004502526574e-05,3
