model_name,config_id,seed,split_id,train_profiles,test_profile,temperature,metric_name,metric_value,notes,ablation_group,feature_set,input_dim,result_prefix,run_status,evidence_scope
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,1.03866983383283,feature ablation 3-seed reproduction: Corrected voltage + current + temperature,G0,paper_g0_raw,3,paperdef_featabl_paper_g0_raw_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,1.9459427649869248,feature ablation 3-seed reproduction: Corrected voltage + current + temperature,G0,paper_g0_raw,3,paperdef_featabl_paper_g0_raw_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.2443610566406039,feature ablation 3-seed reproduction: Corrected voltage + current + temperature,G0,paper_g0_raw,3,paperdef_featabl_paper_g0_raw_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,1.0619552492428872,feature ablation 3-seed reproduction: Corrected voltage + current + temperature,G0,paper_g0_raw,3,paperdef_featabl_paper_g0_raw_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,1.9141854750206533,feature ablation 3-seed reproduction: Corrected voltage + current + temperature,G0,paper_g0_raw,3,paperdef_featabl_paper_g0_raw_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.2347128692146532,feature ablation 3-seed reproduction: Corrected voltage + current + temperature,G0,paper_g0_raw,3,paperdef_featabl_paper_g0_raw_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,1.0371216312652545,feature ablation 3-seed reproduction: Corrected voltage + current + temperature,G0,paper_g0_raw,3,paperdef_featabl_paper_g0_raw_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,1.807757547926581,feature ablation 3-seed reproduction: Corrected voltage + current + temperature,G0,paper_g0_raw,3,paperdef_featabl_paper_g0_raw_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.243479292493848,feature ablation 3-seed reproduction: Corrected voltage + current + temperature,G0,paper_g0_raw,3,paperdef_featabl_paper_g0_raw_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.8618096259593668,feature ablation 3-seed reproduction: G0 + local derivatives/excitation,G1,paper_g1_derivatives,8,paperdef_featabl_paper_g1_derivatives_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,1.6901957819257365,feature ablation 3-seed reproduction: G0 + local derivatives/excitation,G1,paper_g1_derivatives,8,paperdef_featabl_paper_g1_derivatives_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.2892185881356763,feature ablation 3-seed reproduction: G0 + local derivatives/excitation,G1,paper_g1_derivatives,8,paperdef_featabl_paper_g1_derivatives_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.761798823390794,feature ablation 3-seed reproduction: G0 + local derivatives/excitation,G1,paper_g1_derivatives,8,paperdef_featabl_paper_g1_derivatives_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,1.848559332943196,feature ablation 3-seed reproduction: G0 + local derivatives/excitation,G1,paper_g1_derivatives,8,paperdef_featabl_paper_g1_derivatives_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.2078517021638201,feature ablation 3-seed reproduction: G0 + local derivatives/excitation,G1,paper_g1_derivatives,8,paperdef_featabl_paper_g1_derivatives_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.7628350801955693,feature ablation 3-seed reproduction: G0 + local derivatives/excitation,G1,paper_g1_derivatives,8,paperdef_featabl_paper_g1_derivatives_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,1.9023252960608552,feature ablation 3-seed reproduction: G0 + local derivatives/excitation,G1,paper_g1_derivatives,8,paperdef_featabl_paper_g1_derivatives_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.1962932571800939,feature ablation 3-seed reproduction: G0 + local derivatives/excitation,G1,paper_g1_derivatives,8,paperdef_featabl_paper_g1_derivatives_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,paperema_g4_candidate_frozen_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.4452818094849337,frozen G4 3-seed reproduction,G4,paper_g4_all_ema,17,paperema_g4_candidate_frozen_e160,DONE,3-seed reproduction
anchor_residual_tcn,paperema_g4_candidate_frozen_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,0.4629630055156465,frozen G4 3-seed reproduction,G4,paper_g4_all_ema,17,paperema_g4_candidate_frozen_e160,DONE,3-seed reproduction
anchor_residual_tcn,paperema_g4_candidate_frozen_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.3780863952582471,frozen G4 3-seed reproduction,G4,paper_g4_all_ema,17,paperema_g4_candidate_frozen_e160,DONE,3-seed reproduction
anchor_residual_tcn,paperema_g4_candidate_frozen_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.4636820420624567,frozen G4 3-seed reproduction,G4,paper_g4_all_ema,17,paperema_g4_candidate_frozen_e160,DONE,3-seed reproduction
anchor_residual_tcn,paperema_g4_candidate_frozen_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,0.4974669201191822,frozen G4 3-seed reproduction,G4,paper_g4_all_ema,17,paperema_g4_candidate_frozen_e160,DONE,3-seed reproduction
anchor_residual_tcn,paperema_g4_candidate_frozen_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.3322813961943052,frozen G4 3-seed reproduction,G4,paper_g4_all_ema,17,paperema_g4_candidate_frozen_e160,DONE,3-seed reproduction
anchor_residual_tcn,paperema_g4_candidate_frozen_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.4494940560409333,frozen G4 3-seed reproduction,G4,paper_g4_all_ema,17,paperema_g4_candidate_frozen_e160,DONE,3-seed reproduction
anchor_residual_tcn,paperema_g4_candidate_frozen_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,0.4088456477654659,frozen G4 3-seed reproduction,G4,paper_g4_all_ema,17,paperema_g4_candidate_frozen_e160,DONE,3-seed reproduction
anchor_residual_tcn,paperema_g4_candidate_frozen_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.3319408279463091,frozen G4 3-seed reproduction,G4,paper_g4_all_ema,17,paperema_g4_candidate_frozen_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.4542278839851122,feature ablation 3-seed reproduction: G4 + derivative/excitation terms,G6,paper_g6_full23,23,paperdef_featabl_paper_g6_full23_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,0.7795349234398169,feature ablation 3-seed reproduction: G4 + derivative/excitation terms,G6,paper_g6_full23,23,paperdef_featabl_paper_g6_full23_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.4284916495972062,feature ablation 3-seed reproduction: G4 + derivative/excitation terms,G6,paper_g6_full23,23,paperdef_featabl_paper_g6_full23_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.4361286959951278,feature ablation 3-seed reproduction: G4 + derivative/excitation terms,G6,paper_g6_full23,23,paperdef_featabl_paper_g6_full23_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,0.5975234069157519,feature ablation 3-seed reproduction: G4 + derivative/excitation terms,G6,paper_g6_full23,23,paperdef_featabl_paper_g6_full23_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.4076890164092177,feature ablation 3-seed reproduction: G4 + derivative/excitation terms,G6,paper_g6_full23,23,paperdef_featabl_paper_g6_full23_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.429287959537439,feature ablation 3-seed reproduction: G4 + derivative/excitation terms,G6,paper_g6_full23,23,paperdef_featabl_paper_g6_full23_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,0.4530336236560797,feature ablation 3-seed reproduction: G4 + derivative/excitation terms,G6,paper_g6_full23,23,paperdef_featabl_paper_g6_full23_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.309966557732495,feature ablation 3-seed reproduction: G4 + derivative/excitation terms,G6,paper_g6_full23,23,paperdef_featabl_paper_g6_full23_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.4800666301831569,feature ablation 3-seed reproduction: G6 without current/absolute-current EMA,G7,paper_g7_no_current_ema,15,paperdef_featabl_paper_g7_no_current_ema_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,2.0244250659826903,feature ablation 3-seed reproduction: G6 without current/absolute-current EMA,G7,paper_g7_no_current_ema,15,paperdef_featabl_paper_g7_no_current_ema_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.332610679432715,feature ablation 3-seed reproduction: G6 without current/absolute-current EMA,G7,paper_g7_no_current_ema,15,paperdef_featabl_paper_g7_no_current_ema_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.4543637119728873,feature ablation 3-seed reproduction: G6 without current/absolute-current EMA,G7,paper_g7_no_current_ema,15,paperdef_featabl_paper_g7_no_current_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,1.9866842533986573,feature ablation 3-seed reproduction: G6 without current/absolute-current EMA,G7,paper_g7_no_current_ema,15,paperdef_featabl_paper_g7_no_current_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.3294668719075942,feature ablation 3-seed reproduction: G6 without current/absolute-current EMA,G7,paper_g7_no_current_ema,15,paperdef_featabl_paper_g7_no_current_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.4549350766173849,feature ablation 3-seed reproduction: G6 without current/absolute-current EMA,G7,paper_g7_no_current_ema,15,paperdef_featabl_paper_g7_no_current_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,1.9982932691911768,feature ablation 3-seed reproduction: G6 without current/absolute-current EMA,G7,paper_g7_no_current_ema,15,paperdef_featabl_paper_g7_no_current_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.3459050307941527,feature ablation 3-seed reproduction: G6 without current/absolute-current EMA,G7,paper_g7_no_current_ema,15,paperdef_featabl_paper_g7_no_current_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.6375631441312637,feature ablation 3-seed reproduction: G6 without voltage EMA,G8,paper_g8_no_voltage_ema,17,paperdef_featabl_paper_g8_no_voltage_ema_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,0.9526745776254436,feature ablation 3-seed reproduction: G6 without voltage EMA,G8,paper_g8_no_voltage_ema,17,paperdef_featabl_paper_g8_no_voltage_ema_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,0,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.2592519547352985,feature ablation 3-seed reproduction: G6 without voltage EMA,G8,paper_g8_no_voltage_ema,17,paperdef_featabl_paper_g8_no_voltage_ema_seed0_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.6859394056897253,feature ablation 3-seed reproduction: G6 without voltage EMA,G8,paper_g8_no_voltage_ema,17,paperdef_featabl_paper_g8_no_voltage_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,0.4438060139396382,feature ablation 3-seed reproduction: G6 without voltage EMA,G8,paper_g8_no_voltage_ema,17,paperdef_featabl_paper_g8_no_voltage_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,1,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.1350406204324791,feature ablation 3-seed reproduction: G6 without voltage EMA,G8,paper_g8_no_voltage_ema,17,paperdef_featabl_paper_g8_no_voltage_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,0.0,feature_ablation_mae_pct,0.5481300047402254,feature ablation 3-seed reproduction: G6 without voltage EMA,G8,paper_g8_no_voltage_ema,17,paperdef_featabl_paper_g8_no_voltage_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,25.0,feature_ablation_mae_pct,0.4805007663572395,feature ablation 3-seed reproduction: G6 without voltage EMA,G8,paper_g8_no_voltage_ema,17,paperdef_featabl_paper_g8_no_voltage_ema_seed12_e160,DONE,3-seed reproduction
anchor_residual_tcn,nmc_alltemp25_strict_nocc_W08A12_alltemps_noval_w0_0p8_anchor_l12a01_e160,2,train_0_25_45_DST_US06_BJDST__test_FUDS_0_25_45__fixed_epoch160,"DST,US06,BJDST",FUDS,45.0,feature_ablation_mae_pct,0.1575959694656341,feature ablation 3-seed reproduction: G6 without voltage EMA,G8,paper_g8_no_voltage_ema,17,paperdef_featabl_paper_g8_no_voltage_ema_seed12_e160,DONE,3-seed reproduction
